congress,chamber,rollnumber,icpsr,cast_code,prob
117,House,1,21901.0,6,100.0
117,House,1,21902.0,1,97.5
117,House,1,21903.0,6,100.0
117,House,1,21905.0,6,100.0
117,House,1,21906.0,1,100.0
117,House,1,21908.0,6,100.0
117,House,1,21910.0,1,98.2
117,House,1,21911.0,6,100.0
117,House,1,21912.0,1,100.0
117,House,1,21914.0,1,99.4
117,House,1,21915.0,1,100.0
117,House,1,21916.0,1,97.9
117,House,1,21917.0,1,100.0
117,House,1,21919.0,1,100.0
117,House,1,21920.0,6,100.0
117,House,1,21921.0,1,100.0
117,House,1,21922.0,1,100.0
117,House,1,21923.0,6,37.6
117,House,1,21924.0,6,100.0
117,House,1,21925.0,6,100.0
117,House,1,21926.0,6,100.0
117,House,1,21927.0,6,100.0
117,House,1,21928.0,1,100.0
117,House,1,21929.0,6,100.0
117,House,1,21930.0,1,99.5
117,House,1,21931.0,1,100.0
117,House,1,21934.0,1,99.2
117,House,1,21935.0,6,100.0
117,House,1,21936.0,6,100.0
117,House,1,21937.0,1,100.0
117,House,1,21938.0,1,97.5
117,House,1,21939.0,1,99.9
117,House,1,21940.0,1,100.0
117,House,1,21941.0,1,94.0
117,House,1,21942.0,1,99.6
117,House,1,21944.0,1,100.0
117,House,1,21945.0,6,100.0
117,House,1,21946.0,6,100.0
117,House,1,21948.0,1,100.0
117,House,1,21949.0,1,100.0
117,House,1,21950.0,1,100.0
117,House,1,21951.0,1,97.9
117,House,1,21952.0,6,100.0
117,House,1,21953.0,1,99.6
117,House,1,21954.0,1,99.5
117,House,1,21955.0,1,100.0
117,House,1,21956.0,6,100.0
117,House,1,21959.0,6,100.0
117,House,1,21961.0,6,100.0
117,House,1,21962.0,1,99.4
117,House,1,21964.0,7,98.2
117,House,1,21965.0,7,99.7
117,House,1,21966.0,7,94.0
117,House,1,21968.0,1,99.5
117,House,1,21969.0,6,100.0
117,House,1,21970.0,6,100.0
117,House,1,21971.0,6,100.0
117,House,1,21972.0,1,100.0
117,House,1,21973.0,6,100.0
117,House,1,21974.0,6,100.0
117,House,1,21975.0,1,99.9
117,House,1,21977.0,1,100.0
117,House,1,21978.0,1,100.0
117,House,1,21979.0,1,100.0
117,House,1,21981.0,6,100.0
117,House,1,21983.0,1,100.0
117,House,1,21984.0,6,100.0
117,House,1,21985.0,6,100.0
117,House,1,21986.0,6,100.0
117,House,1,21987.0,6,100.0
117,House,1,21988.0,6,100.0
117,House,1,21989.0,6,100.0
117,House,1,21990.0,6,100.0
117,House,1,22100.0,1,99.9
117,House,1,22101.0,6,100.0
117,House,1,22102.0,6,100.0
117,House,1,22103.0,6,100.0
117,House,1,22104.0,1,99.6
117,House,1,22105.0,1,100.0
117,House,1,22106.0,1,99.7
117,House,1,22107.0,6,100.0
117,House,1,22108.0,6,100.0
117,House,1,22109.0,6,100.0
117,House,1,22110.0,6,100.0
117,House,1,22111.0,6,100.0
117,House,1,22112.0,6,100.0
117,House,1,22113.0,6,100.0
117,House,1,22114.0,6,100.0
117,House,1,22115.0,6,100.0
117,House,1,22116.0,6,100.0
117,House,1,22117.0,6,100.0
117,House,1,22118.0,6,100.0
117,House,1,22119.0,6,100.0
117,House,1,22120.0,6,100.0
117,House,1,22121.0,6,100.0
117,House,1,22122.0,6,100.0
117,House,1,22123.0,6,100.0
117,House,1,22124.0,6,100.0
117,House,1,22125.0,6,100.0
117,House,1,22126.0,1,100.0
117,House,1,22127.0,1,100.0
117,House,1,22128.0,1,100.0
117,House,1,22129.0,6,100.0
117,House,1,22130.0,6,100.0
117,House,1,22131.0,1,100.0
117,House,1,22132.0,6,100.0
117,House,1,22133.0,6,100.0
117,House,1,22134.0,6,100.0
117,House,1,22135.0,1,99.3
117,House,1,22136.0,6,100.0
117,House,1,22137.0,6,100.0
117,House,1,22138.0,6,100.0
117,House,1,22139.0,6,100.0
117,House,1,22140.0,6,100.0
117,House,1,22141.0,6,100.0
117,House,1,22142.0,1,99.8
117,House,1,22143.0,6,100.0
117,House,1,22144.0,1,100.0
117,House,1,22145.0,6,100.0
117,House,1,22146.0,6,100.0
117,House,1,22147.0,6,100.0
117,House,1,22148.0,6,100.0
117,House,1,22149.0,1,100.0
117,House,1,22150.0,9,100.0
117,House,1,22151.0,6,100.0
117,House,1,22152.0,6,100.0
117,House,1,22153.0,1,100.0
117,House,1,22154.0,1,99.9
117,House,1,22155.0,6,100.0
117,House,1,22156.0,1,100.0
